UMAP1,UMAP2,cluster
-0.7309303,0.5229248,1
-0.81461275,0.4677271,1
-0.85918266,0.39858738,1
-0.81613374,0.40548775,1
-1.154933,0.21369717,1
-1.0102477,0.32734007,1
-1.1157987,0.20542215,1
-1.5461196,-0.05327163,1
-1.2814838,0.121137396,1
-1.6135776,-0.14509602,1
-1.5942992,-0.11557021,1
-1.5482894,-0.06387403,1
-1.1460654,0.16424674,1
-1.4838521,-0.0469454,1
-1.1984346,0.12582843,1
-1.2053567,0.16471998,1
-1.2779771,0.13956884,1
-1.4976052,0.019832721,1
-1.0969543,0.23554902,1
-1.2891134,0.07479633,1
-1.1652035,0.16417228,1
-1.2148569,0.17279042,1
-0.80155885,0.49334562,1
-0.9656313,0.35304374,1
-1.0140594,0.31058338,1
-0.83198935,0.36460453,1
-0.72376114,0.42807513,1
-0.891297,0.38773155,1
-1.4330336,0.05983494,1
-0.9573248,0.27116385,1
-1.4742014,-0.097186305,1
-1.2107648,0.11539858,1
-1.4849291,-0.036470484,1
-1.707383,-0.18231155,1
-1.45997,-0.07514297,1
-1.500738,-0.06033766,1
-1.5676161,0.042562854,1
-1.4105213,0.04023555,1
-1.6442976,-0.1584167,1
-1.5816102,-0.12372371,1
-1.6456934,-0.19030772,1
-1.5416628,-0.08790856,1
-1.3934368,0.007564528,1
-1.528335,-0.12039677,1
-0.5031852,0.63351345,1
-0.16297407,0.8516232,1
2.6610448,2.800517,2
2.8329294,2.9182281,2
2.7042005,2.840445,2
2.6122396,2.7658582,2
2.698088,2.8260384,2
2.3935544,2.6023605,2
-0.52182376,0.55868596,1
-0.7556249,0.45700276,1
-0.7721138,0.44531024,1
-1.259853,0.07553253,1
-0.87749773,0.33937266,1
-1.5309529,0.007481202,1
-1.6704605,-0.17550826,1
-1.7483008,-0.23336205,1
-1.5433909,-0.15332165,1
-1.6512722,-0.14235112,1
-1.4096831,-0.078661166,1
-1.4287754,-0.06445402,1
-1.6237898,-0.13767499,1
-1.5913192,-0.11261007,1
-1.6918116,-0.16631845,1
-1.5186679,-0.0677595,1
-0.8329845,0.4621877,1
1.2869914,1.925568,1
3.1993148,3.1508927,2
3.8910384,3.6064525,2
5.7422824,5.094128,0
5.241887,4.6673927,0
3.5519876,3.3878105,2
4.167955,3.8037941,2
3.280341,3.2096689,2
2.7242305,2.8457828,2
2.4706755,2.6658874,2
2.4950025,2.6816478,2
-0.88280576,0.33864143,1
-0.7373263,0.4157262,1
-0.44709584,0.6898894,1
-0.53142816,0.5836408,1
-0.5978903,0.5736706,1
-1.0963912,0.20838389,1
-1.4767394,-0.17246889,1
-1.3073645,0.055181153,1
-1.5473299,-0.0683817,1
-1.7404088,-0.19614781,1
-1.4665551,-0.12986785,1
-1.581919,-0.16256265,1
-1.2745578,0.04066836,1
-0.40181866,0.69346964,1
2.6769462,2.8153007,2
5.100288,4.5200706,0
6.305657,5.525414,0
6.4048223,5.613653,0
6.651027,5.720006,0
6.434807,5.6228976,0
5.214611,4.6479926,0
4.8695855,4.330175,0
4.113825,3.763071,2
4.0486856,3.693216,2
3.5730846,3.3921835,2
3.258526,3.1945484,2
3.348726,3.2514458,2
3.2864816,3.213112,2
3.113848,3.098459,2
2.5425353,2.7270088,2
2.786218,2.8784204,2
2.7271001,2.8383946,2
-1.3276213,0.030510295,1
-0.9960851,0.25577173,1
-1.2673872,0.09852733,1
-1.4352244,0.06513752,1
-1.336538,0.042050283,1
-1.2056848,0.14373627,1
-1.3475986,0.035760827,1
-0.65465057,0.52485925,1
2.604254,2.7596548,2
2.9016397,2.9603224,2
5.2935915,4.676937,0
5.329223,4.6980486,0
5.508186,4.7791486,0
6.240655,5.185037,0
4.5316224,3.9871955,2
4.2978024,3.8431475,2
4.3770127,3.8950186,2
4.301615,3.8499594,2
4.259527,3.8202658,2
4.2812066,3.840605,2
4.320441,3.8674052,2
4.3243303,3.8795624,2
4.3131156,3.9347978,2
4.3890634,3.984381,2
3.1470397,3.1203048,2
3.0615516,3.0617392,2
2.7751405,2.8696837,2
-1.5673778,-0.19412659,1
-1.626427,-0.12883836,1
-1.6610699,-0.1742431,1
-1.1431752,0.13239788,1
-1.5499371,-0.12285322,1
-1.6001939,-0.22649536,1
-1.3541137,0.05341568,1
-0.63445204,0.59946734,1
-0.2517336,0.8168101,1
2.9026124,2.960694,2
5.8933816,5.108244,0
6.4435816,5.5997734,0
6.307875,5.2423964,0
6.2252455,5.1246862,0
6.4192142,5.2570906,0
4.2580276,3.8132572,2
4.3448415,3.8728266,2
4.349606,3.8942704,2
4.307069,3.858865,2
4.365427,3.8966725,2
4.327194,3.9055188,2
4.3389645,3.901797,2
4.3771024,3.9837952,2
4.3288126,3.9122171,2
4.329926,3.9017222,2
3.9540446,3.6353424,2
3.063484,3.0664966,2
2.3863115,2.6043627,2
-1.103335,0.23649633,1
-1.4329737,-0.022566237,1
-1.3186282,0.075172596,1
-1.2070827,0.093470484,1
-1.6147866,-0.12556228,1
-1.6252066,-0.14593175,1
-1.5085626,-0.12616871,1
-0.39522457,0.7045666,1
2.778243,2.8771935,2
4.154729,3.8174958,2
6.583735,5.7221484,0
5.2991486,4.671382,0
6.5585356,5.612979,0
6.2555084,5.3681116,0
6.68183,5.6269007,0
6.38818,5.2960606,0
6.423651,5.258985,0
4.9608884,4.423676,0
4.3419285,3.9099014,2
4.3305607,3.912897,2
4.327555,3.9100041,2
6.338262,5.5800757,0
6.3225617,5.5498123,0
4.3460054,3.8860862,2
4.3460402,3.8912058,2
4.3774548,3.8977182,2
4.032053,3.6809516,2
3.1797194,3.1407857,2
-0.9230899,0.31775752,1
-1.5388986,-0.027273884,1
-1.363535,0.016851835,1
-1.0925794,0.17294452,1
-1.5473614,-0.08729025,1
-1.4051565,-0.099320844,1
-1.7060183,-0.1951788,1
-1.3559946,0.024933131,1
-0.50123465,0.6501426,1
-0.3003348,0.76468205,1
2.82657,2.9117115,2
5.402201,4.710217,0
6.0151052,5.259418,0
5.2359214,4.5689225,0
4.008785,3.6842244,2
4.920947,4.355006,0
5.448013,4.687121,0
5.945882,4.9792027,0
6.7041864,5.705767,0
6.2488437,5.52421,0
5.792315,5.093645,0
6.424679,5.6310244,0
6.0322356,5.3104386,0
6.0140986,5.294032,0
6.0762453,5.3275547,0
5.0860014,4.4975786,0
4.352786,3.8916228,2
4.3384614,3.8742564,2
4.3521547,3.8738399,2
3.259486,3.198729,2
2.4418175,2.6523848,2
-1.2309237,0.11190117,1
-1.1439188,0.1618286,1
-1.2154226,0.17499404,1
-1.5462266,-0.084380895,1
-1.4354497,-0.06528982,1
-1.4349642,-0.049922165,1
-1.3318828,-0.0049213865,1
-0.55727106,0.59717155,1
2.7195437,2.8423629,2
5.0221615,4.3490386,0
5.9703207,5.2853737,0
4.870999,4.3379197,0
4.786435,4.2285233,0
5.135037,4.591796,0
5.17911,4.621152,0
5.669301,4.9534693,0
5.7919917,4.9512033,0
5.228736,4.4864254,0
5.214638,4.528262,0
5.0841827,4.5329866,0
5.8946223,5.195475,0
5.5071535,4.8587565,0
5.880559,5.177696,0
4.925129,4.3643446,0
5.791236,5.0982966,0
4.5310435,3.996125,2
4.296478,3.8465364,2
4.350512,3.8779848,2
4.134657,3.7385952,2
3.230208,3.174125,2
-0.8339378,0.38597614,1
-1.4372362,0.027286962,1
-1.7088046,-0.18734804,1
-1.2640564,0.096031964,1
-1.1704208,0.1417459,1
-1.5308303,-0.06862755,1
-1.5940541,-0.08408184,1
-0.3251811,0.74364126,1
1.1928787,1.9032402,1
3.2995207,3.2145848,2
6.259691,5.4969234,0
6.220343,5.4728403,0
6.0350823,5.311462,0
5.3170495,4.537919,0
4.770169,4.2245283,0
4.7354045,4.204361,0
5.357725,4.6270714,0
5.6546865,4.96177,0
4.7766776,4.208749,0
5.3163614,4.7386045,0
6.0256205,5.2388844,0
6.3792415,5.5056467,0
5.891889,5.1727157,0
5.413178,4.8153996,0
5.365543,4.759377,0
5.8578568,5.1507926,0
5.180845,4.5735326,0
4.5100603,3.986295,2
4.3700204,3.895476,2
4.2953496,3.832641,2
3.310349,3.2365751,2
2.7520843,2.8561926,2
-0.78784376,0.42832422,1
-1.4084636,0.0679437,1
-1.6619982,-0.13955222,1
-1.6354562,-0.14194457,1
-1.1588088,0.14527398,1
-1.4308037,-0.068389826,1
-1.2958643,0.08322712,1
-0.5384572,0.63644964,1
-0.3706867,0.71330553,1
2.7694898,2.8706887,2
5.590317,4.757996,0
5.515571,4.8555493,0
5.850218,5.1895394,0
6.7682447,5.811486,0
6.008104,5.2574697,0
5.1107273,4.5010304,0
5.736725,5.087863,0
5.4801073,4.826184,0
4.7252793,4.16358,0
4.900326,4.2358427,0
5.274764,4.628261,0
5.9515715,5.1528797,0
5.3019567,4.6422157,0
5.4064384,4.8067083,0
5.4077883,4.7410755,0
4.7931566,4.223305,0
5.0946937,4.5243134,0
3.9896224,3.6814575,2
4.019286,3.7034433,2
4.4328585,3.9477196,2
4.3624907,3.8898044,2
4.3079276,3.8512359,2
4.0047464,3.6645734,2
2.7314713,2.8426485,2
-0.48765886,0.6274204,1
-1.3906223,-0.004717831,1
-1.4434274,0.050973494,1
-1.2518535,0.13467172,1
-1.4360002,0.041119397,1
-1.2667246,0.05189888,1
-0.8927726,0.37593466,1
2.5343156,2.710265,2
3.841529,3.5687313,2
6.3700166,5.5702367,0
5.704964,5.075714,0
6.064228,5.308252,0
6.5105205,5.635615,0
6.539674,5.630395,0
6.4321012,5.3774605,0
5.492359,4.728642,0
5.1280184,4.481367,0
4.736893,4.1703434,0
4.9802794,4.3570957,0
5.224263,4.6302752,0
5.103513,4.522958,0
4.8002005,4.174089,0
4.7253985,4.18259,0
5.1506767,4.490266,0
4.997389,4.370299,0
4.691158,4.165313,2
4.888272,4.350444,0
3.9388628,3.647016,2
4.0051665,3.6933043,2
4.48831,3.9739587,2
4.361894,3.8744643,2
4.2863913,3.8250675,2
3.4199462,3.297907,2
2.7704577,2.8685958,2
-0.88836306,0.3331468,1
-1.5455853,-0.117542945,1
-1.5845163,-0.11038419,1
-0.9493817,0.28091273,1
-1.1736498,0.12917644,1
-1.2148947,0.09292451,1
-0.7243424,0.52092785,1
-0.51918197,0.5936153,1
3.1075454,3.0926015,2
6.287877,5.52048,0
6.3870873,5.500933,0
6.4693637,5.5981436,0
6.1449814,5.351621,0
5.5191817,4.8304553,0
6.369604,5.567798,0
5.522645,4.812225,0
5.876902,5.1745067,0
5.8496327,5.1801634,0
4.945447,4.2147617,0
4.7707453,4.2371583,0
4.9632506,4.401179,0
4.714407,4.1570477,0
4.7432423,4.205368,0
4.833303,4.3003063,0
5.121021,4.5124965,0
5.285424,4.7052927,0
4.685761,4.1546335,2
4.5919065,4.0870576,2
4.853554,4.326808,0
6.0135927,5.291706,0
4.385888,3.9059715,2
4.237548,3.7981899,2
4.3513265,3.8682928,2
3.7931826,3.5282078,2
3.1895735,3.1509285,2
-0.68628347,0.49994487,1
-1.249812,0.10724349,1
-1.3329248,-0.05270462,1
-1.0041044,0.25876746,1
-1.1013657,0.18603154,1
-1.488395,-0.05722542,1
-0.77484006,0.45724893,1
2.6771078,2.811,2
3.7769094,3.521042,2
6.353777,5.573355,0
6.2187443,5.4655137,0
6.679471,5.755057,0
6.277055,5.4891853,0
6.699597,5.706596,0
6.377577,5.5210385,0
6.2036543,5.444775,0
5.8748755,4.979605,0
5.8964157,4.924612,0
6.1586432,5.279458,0
4.848919,4.2089486,0
4.8467407,4.1900673,0
4.8654175,4.268824,0
4.953636,4.375426,0
4.9741535,4.3893304,0
4.864654,4.329531,0
4.6156936,4.054071,2
4.4469543,3.9515696,2
4.437913,3.962205,2
4.337659,3.8723412,2
4.5398192,3.9979525,2
4.5461946,3.998167,2
4.503917,3.9706156,2
4.4340796,3.9247994,2
4.359759,3.8853269,2
4.120797,3.7307272,2
2.762644,2.8614318,2
-1.4908421,-0.12763314,1
-1.7165899,-0.18944795,1
-1.241111,0.07941957,1
-1.2267991,0.09143939,1
-1.6371466,-0.1361848,1
-0.32911998,0.7478281,1
2.613368,2.7634246,2
3.3498874,3.2446783,2
6.2432427,5.175509,0
6.5675416,5.663661,0
6.4382586,5.5266304,0
6.15022,5.338495,0
6.231441,5.3698335,0
5.7849736,5.0130568,0
6.858201,5.8853855,0
5.820803,4.970231,0
5.6330028,4.762109,0
6.6803474,5.721129,0
6.6977572,5.728855,0
6.251485,5.33036,0
4.8970513,4.229699,0
5.853377,4.958695,0
6.220821,5.4400253,0
4.5639086,4.0378723,2
4.4528947,3.9430177,2
4.64446,4.0650983,2
4.5918865,4.039319,2
4.588227,4.0379634,2
4.4795012,3.999101,2
4.4994817,3.9890618,2
4.2546,3.8205593,2
4.610357,4.048398,2
4.3877563,3.8896055,2
4.2440586,3.8236918,2
4.0862074,3.7078693,2
2.8759823,2.9444978,2
-1.5648264,-0.16398126,1
-1.6967524,-0.2020043,1
-1.388549,0.045117877,1
-1.575463,-0.07347627,1
-1.5042593,-2.4492383e-05,1
-1.5827874,-0.10348045,1
-0.91609955,0.3718505,1
-0.33694836,0.730633,1
3.0106297,3.0277984,2
5.5597014,4.5521283,0
6.1508107,5.117832,0
5.780053,4.9979815,0
6.273556,5.529158,0
5.7498765,5.0585823,0
6.500717,5.489908,0
6.626754,5.6453547,0
6.7644606,5.825227,0
6.0161967,5.3023977,0
6.2741027,5.3775625,0
6.3828564,5.4138865,0
6.212799,5.355842,0
6.1682544,5.416427,0
5.791861,4.945302,0
6.236816,5.271681,0
5.8497987,5.004063,0
4.586455,4.028796,2
4.8282633,4.2442775,0
5.0390825,4.3700094,0
4.8764186,4.2686625,0
4.893962,4.3450603,0
4.86204,4.3129754,0
5.4591,4.810007,0
5.200765,4.6118336,0
5.5593967,4.8636866,0
4.717774,4.1172647,2
4.2859836,3.8406584,2
4.16213,3.763151,2
2.8925676,2.9515128,2
-1.2864715,0.017503658,1
-1.6939998,-0.18640499,1
-1.4668669,-0.12881064,1
-1.5910463,-0.11389999,1
-1.5150394,-0.06514968,1
-1.6370302,-0.1106477,1
-0.900211,0.41723603,1
2.5207844,2.6981418,2
3.0686383,3.0658078,2
5.6773014,4.707932,0
6.6835594,5.7386084,0
6.638103,5.684215,0
6.4652524,5.526815,0
6.190325,5.4143124,0
6.24946,5.424757,0
6.327481,5.5219817,0
6.164899,5.382501,0
6.4933043,5.620092,0
6.5593133,5.646299,0
6.2053733,5.417587,0
6.151349,5.4009833,0
5.821841,4.9084973,0
5.2957354,4.6238427,0
5.8084183,5.011682,0
5.845265,5.0217514,0
5.799181,5.0335956,0
4.846124,4.267464,0
4.964863,4.386032,0
5.14851,4.610474,0
4.924464,4.3620696,0
4.842361,4.314425,0
4.8273907,4.253431,0
4.829533,4.267818,0
5.181885,4.6002254,0
4.61753,4.0924797,2
4.225468,3.7938814,2
4.329023,3.8634079,2
3.255144,3.1916156,2
-0.9667644,0.28244063,1
-1.6614257,-0.19145593,1
-1.6072304,-0.16217007,1
-1.0688446,0.20087896,1
-1.1581852,0.16163592,1
-1.1757263,0.14869799,1
-0.84184533,0.45601824,1
-0.7467665,0.4622434,1
3.0648375,3.0668771,2
5.5442333,4.532697,0
6.663748,5.651673,0
6.683664,5.763899,0
5.269331,4.4788885,0
5.640608,4.91279,0
5.985871,5.298139,0
6.060378,5.264668,0
5.2829213,4.609821,0
6.8369,5.876313,0
5.405866,4.681904,0
6.652114,5.7197337,0
6.1650147,5.3184257,0
5.8354216,5.041283,0
5.626599,4.7044,0
6.0435104,5.2029204,0
5.0058236,4.352364,0
6.0725636,5.387365,0
5.417414,4.545528,0
5.5623364,4.7795725,0
5.136068,4.4345603,0
5.0683556,4.469655,0
5.226886,4.5681953,0
4.930821,4.365262,0
4.8301907,4.263785,0
5.1319814,4.5218153,0
4.900251,4.3391595,0
6.4823895,5.6258507,0
4.298362,3.8381095,2
4.3030686,3.8662896,2
3.3431575,3.249278,2
2.7196712,2.8381112,2
-0.92327684,0.29430532,1
-1.4142102,0.0257267,1
-1.5084083,-0.12988299,1
-1.174788,0.14066045,1
-1.4454123,-0.057865895,1
-1.6218742,-0.14313771,1
-1.3109744,0.08192651,1
-1.12794,0.16401413,1
2.3051498,2.5408435,2
3.1613257,3.126858,2
5.5538087,4.541288,0
6.501625,5.4972215,0
6.4685435,5.5139327,0
5.528627,4.782205,0
5.906417,5.1459856,0
5.7448807,5.083078,0
6.20465,5.427232,0
6.082486,5.3712697,0
6.5968494,5.691888,0
6.0003,5.157251,0
6.046671,5.316523,0
6.3358955,5.5325823,0
6.6786575,5.7431645,0
5.7448325,4.848099,0
5.6281977,5.013105,0
6.2251,5.4841266,0
6.526475,5.556127,0
6.282973,5.5269885,0
5.996946,5.1023407,0
5.2423306,4.4826756,0
5.4096446,4.736238,0
6.611778,5.749985,0
5.3586745,4.580107,0
4.8487086,4.269333,0
5.496441,4.683858,0
6.349397,5.352531,0
5.2770624,4.5811014,0
4.3971653,3.9096212,2
4.227084,3.7783494,2
4.2998075,3.8434234,2
3.0629983,3.062893,2
-0.76713765,0.42602673,1
-1.2926724,0.07589903,1
-1.7046323,-0.20767169,1
-1.0601884,0.19383761,1
-1.4860545,0.005048269,1
-1.4314073,0.032976262,1
-0.6128774,0.56658405,1
-1.0829871,0.2662811,1
2.8078427,2.8950996,2
3.4018927,3.276798,2
6.295428,5.191215,0
6.6756277,5.7073436,0
6.4894576,5.351854,0
6.348486,5.4559135,0
4.7123656,4.1757593,0
6.032905,5.200688,0
5.655375,4.9960594,0
6.1986637,5.4850783,0
6.536397,5.6758313,0
6.6687045,5.743597,0
5.9037,5.0462494,0
6.5578113,5.659714,0
6.1583824,5.3899593,0
6.070684,5.099482,0
6.6693153,5.738715,0
5.5079417,4.7735167,0
6.028402,5.1438966,0
6.778013,5.828053,0
6.221616,5.3770843,0
6.50196,5.545486,0
5.548864,4.7698364,0
6.771281,5.8465433,0
6.041195,5.3363695,0
6.443165,5.6141815,0
6.335201,5.505226,0
6.6855626,5.753297,0
5.8491693,5.080727,0
5.3243775,4.544812,0
4.5231066,3.9873712,2
4.301419,3.8459926,2
3.949382,3.6258433,2
2.5402606,2.714357,2
-1.1728948,0.15261954,1
-1.5979753,-0.135519,1
-1.3897039,-0.017213393,1
-1.3935086,0.037512247,1
-1.5848478,-0.1802815,1
-1.017564,0.37000552,1
-1.1395247,0.24176283,1
-0.48823398,0.6248004,1
3.2380378,3.177661,2
5.5455556,4.533351,0
6.352062,5.2026873,0
6.700806,5.68771,0
6.0540314,5.0544915,0
6.1699767,5.2594213,0
5.403462,4.618063,0
5.2866898,4.541531,0
5.749423,4.928389,0
5.624292,4.80431,0
6.5782843,5.626103,0
6.455047,5.650037,0
6.266554,5.374909,0
5.13687,4.503473,0
6.429586,5.542261,0
6.4355736,5.5622835,0
6.4748487,5.5171046,0
5.958034,5.2473183,0
5.928312,5.236997,0
6.191839,5.444795,0
6.4684925,5.637638,0
6.1883307,5.2068205,0
6.6084175,5.7615867,0
6.23483,5.4884577,0
6.4733634,5.682048,0
6.0424557,5.351509,0
5.649142,5.0124493,0
6.0343285,5.3342314,0
5.8472357,5.2014923,0
6.659501,5.7595477,0
4.591191,4.0337276,2
4.3426676,3.8697305,2
4.300457,3.8395958,2
3.2852874,3.2114508,2
-0.5993174,0.5216372,1
-1.4153929,0.01735829,1
-1.5035787,-0.09779421,1
-1.4725524,-0.10421673,1
-0.91034967,0.31143084,1
-1.0562146,0.21244091,1
-0.45735595,0.68021566,1
-0.31490228,0.7660349,1
2.6878607,2.8182619,2
3.2560883,3.1895053,2
5.579667,4.5653744,0
6.4468937,5.294025,0
5.864254,4.814065,0
6.3322716,5.259571,0
5.8906374,5.004688,0
5.3017898,4.615884,0
5.371583,4.567185,0
5.887793,5.0896745,0
5.943154,5.161234,0
5.5920577,4.9669714,0
6.1291966,5.414385,0
5.7310925,5.011402,0
6.046042,5.1748066,0
6.550855,5.6439,0
6.1208196,5.3833394,0
6.060461,5.3345246,0
6.1063805,5.222666,0
6.5673227,5.6817617,0
6.2692723,5.533604,0
6.4855995,5.673323,0
5.0094852,4.389113,0
6.786487,5.86504,0
6.0169945,5.313648,0
6.3954253,5.532065,0
5.9869237,5.2695727,0
6.70101,5.803575,0
6.0465,5.3068686,0
6.0683565,5.1997323,0
6.7364755,5.7930894,0
5.1959662,4.635712,0
4.4258757,3.927718,2
4.1994267,3.7782128,2
4.1923,3.7702444,2
2.3961911,2.6110437,2
-1.534726,-0.11504978,1
-1.3687074,0.0047392272,1
-1.6879567,-0.17837796,1
-1.2838199,0.008168161,1
-1.2133178,0.09614895,1
-0.73557156,0.5172918,1
-0.7712824,0.46438566,1
3.2201197,3.1636927,2
5.0662084,4.3218055,0
5.5739484,4.6756573,0
6.0524116,5.047756,0
5.589415,4.5893636,0
6.378641,5.2244153,0
6.125234,5.154321,0
5.541316,4.6824083,0
3.6758378,3.459183,2
5.9140415,5.151796,0
6.008038,5.0633326,0
5.4446435,4.789003,0
6.2013607,5.399481,0
6.0811477,5.3630066,0
6.022938,5.20346,0
5.0519643,4.4246845,0
5.6477237,4.9706035,0
6.0089245,5.1907945,0
6.413623,5.4499907,0
5.8608627,5.121069,0
6.6328664,5.6615767,0
6.221221,5.393113,0
6.5961995,5.631181,0
6.686387,5.7517433,0
6.6385393,5.7567554,0
6.62316,5.7771397,0
6.1514835,5.4916496,0
6.597941,5.773927,0
5.3856163,4.731808,0
6.287465,5.369413,0
6.3217483,5.5105352,0
6.0590024,5.3401475,0
5.6395717,5.0068483,0
4.3401093,3.8710902,2
4.2772083,3.8272932,2
4.197447,3.7784488,2
2.8437793,2.928615,2
